,,general food,meat,vegetables,fruits,cereals,dairy products&eggs,oil,seafood,,,total confirmed covid deaths,total confirmed covid cases,confirmed covid cases,% change in confirmed cases,confirmed covid deaths,% change in confirmed deaths,log_month_cases,log_month_death,,,
,,,"*pork, beef, mutton",,,,*the mean of dairy and eggs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2019/1,,1.10,-0.10,9.10,2.30,0.10,0.25,-0.20,2.00,,,0,0,0,0,0,0,0,0,,,
2019/2,,2.30,0.90,15.70,5.40,0.20,-2.40,-0.10,4.00,,,0,0,0,0,0,0,0,0,,,
2019/3,,-0.60,-0.10,-2.60,0.30,0.00,-2.55,0.00,-3.60,,,0,0,0,0,0,0,0,0,,,
2019/4,,0.00,0.90,-4.50,2.60,0.00,1.20,0.00,0.50,,,0,0,0,0,0,0,0,0,,,
2019/5,,0.10,-0.20,-7.90,10.10,0.00,3.10,0.00,-0.10,,,0,0,0,0,0,0,0,0,,,
2019/6,,-0.20,2.20,-9.70,5.10,0.00,-1.00,0.00,-0.90,,,0,0,0,0,0,0,0,0,,,
2019/7,,1,8.6,-3.45,-2.5,0.05,0.775,0.3,0,,,0,0,0,0,0,0,0,0,,,
2019/8,,2.20,15.00,2.80,-10.10,0.10,2.55,0.60,0.90,,,0,0,0,0,0,0,0,0,,,
2019/9,,2.60,15.00,-2.40,-7.60,0.00,3.45,1.20,-0.20,,,0,0,0,0,0,0,0,0,,,
2019/10,,2.70,14.70,-1.70,-5.70,0.10,-0.65,1.20,-1.10,,,0,0,0,0,0,0,0,0,,,
2019/11,,1.50,4.80,1.40,-3.00,0.20,-0.10,1.80,-0.50,,,0,0,0,0,0,0,0,0,,,
2019/12,,-0.20,-3.80,10.60,0.60,0.00,-2.15,0.10,0.10,,,0,0,0,0,0,0,0,0,,,
2020/1,,3.10,6.10,15.30,5.50,-0.10,-1.75,0.10,4.50,,,213,9790,9790,0,213,0,3.990782692,2.328379603,,,
2020/2,,3.00,7.10,9.50,4.80,0.40,-2.80,0.50,3.00,,,2835,79261,69471,609.6118488,2622,1130.985915,4.84180355,3.418632687,,,
2020/3,,-2.70,-5.20,-12.20,-0.20,0.00,-2.35,-0.10,-3.50,,,3305,81565,2304,-96.68350823,470,-82.0747521,3.362482475,2.672097858,,,
2020/4,,-2.10,-5.50,-8.00,-2.20,0.40,-0.95,-0.10,-0.10,,,4633,82919,1354,-41.23263889,1328,182.5531915,3.131618664,3.123198075,,,
2020/5,,-2.40,-5.70,-12.50,-0.80,0.30,-2.10,-0.30,1.30,,,4634,83062,143,-89.43870015,1,-99.9246988,2.155336037,0,,,
2020/6,,0.10,2.20,2.80,-7.60,0.10,-1.70,0.40,0.10,,,4634,83580,518,262.2377622,0,-100,2.71432976,0,,,
2020/7,,2.00,7.40,6.30,-4.40,0.00,1.65,0.70,0.40,,,4634,84383,803,55.01930502,0,0,2.904715545,0,,,
2020/8,,1.00,1.40,6.40,-0.40,0.00,4.85,0.70,-0.40,,,4634,85104,721,-10.2117061,0,0,2.857935265,0,,,
2020/9,,0.30,-0.80,2.40,7.30,0.00,0.50,0.30,-0.90,,,4634,85458,354,-50.90152566,0,0,2.549003262,0,,,
2020/10,,-1.20,-4.50,-2.10,1.80,0.10,-0.80,0.50,-1.20,,,4634,86043,585,65.25423729,0,0,2.767155866,0,,,
2020/11,,-1.60,-4.70,-5.70,0.00,0.10,-0.45,0.20,-1.90,,,4634,86588,545,-6.837606838,0,0,2.736396502,0,,,
2020/12,,2.00,4.30,8.50,3.50,0.00,1.35,1.30,0.80,,,4634,87117,529,-2.935779817,0,0,2.723455672,0,,,
2021/1,,2.80,3.70,19.00,2.30,0.30,4.80,2.10,3.30,,,4636,89611,2494,371.4555766,2,0,3.396896449,0.301029996,,,
2021/2,,1.20,-1.00,1.80,6.10,0.30,-2.00,0.50,8.70,,,4636,89960,349,-86.0064154,0,-100,2.542825427,0,,,
2021/3,,-2.40,-6.50,-14.50,-0.20,0.00,-1.60,0.60,-1.40,,,4636,90265,305,-12.60744986,0,0,2.484299839,0,,,
2021/4,,-1.50,-6.10,-8.80,-3.80,0.10,0.80,0.50,3.00,,,4636,90720,455,49.18032787,0,0,2.658011397,0,,,
2021/5,,-1.00,-6.00,-5.60,-2.70,0.00,1.35,0.40,3.00,,,4636,91173,453,-0.43956044,0,0,2.656098202,0,,,
2021/6,,-1.40,-7.60,-2.30,-4.50,0.00,-0.25,0.20,0.10,,,4636,91846,673,48.56512141,0,0,2.828015064,0,,,
2021/7,,-0.20,-1.70,1.30,-2.10,0.00,0.50,0.10,0.00,,,4636,93066,1220,81.27786033,0,0,3.086359831,0,,,
2021/8,,0.50,-0.90,8.60,-0.40,0.10,3.70,0.00,-2.30,,,4636,94961,1895,55.32786885,0,0,3.277609214,0,,,
2021/9,,-0.40,-2.30,1.00,0.00,-0.10,-0.30,-0.10,-0.40,,,4636,96233,1272,-32.87598945,0,0,3.104487111,0,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
