Date,Country,CPI_food_change
2019/1,China,1.10
2019/2,China,2.30
2019/3,China,-0.60
2019/4,China,0.00
2019/5,China,0.10
2019/6,China,-0.20
2019/7,China,NaN
2019/8,China,2.20
2019/9,China,2.60
2019/10,China,2.70
2019/11,China,1.50
2019/12,China,-0.20
2020/1,China,3.10
2020/2,China,3.00
2020/3,China,-2.70
2020/4,China,-2.10
2020/5,China,-2.40
2020/6,China,0.10
2020/7,China,2.00
2020/8,China,1.00
2020/9,China,0.30
2020/10,China,-1.20
2020/11,China,-1.60
2020/12,China,2.00
2021/1,China,2.80
2021/2,China,1.20
2021/3,China,-2.40
2021/4,China,-1.50
2021/5,China,-1.00
2021/6,China,-1.40
2021/7,China,-0.20
2021/8,China,0.50
2021/9,China,-0.40
2019/1,Japan,1.02
2019/2,Japan,-0.51
2019/3,Japan,-0.31
2019/4,Japan,0.10
2019/5,Japan,0.10
2019/6,Japan,0.20
2019/7,Japan,0.10
2019/8,Japan,0.20
2019/9,Japan,0.91
2019/10,Japan,0.40
2019/11,Japan,-0.20
2019/12,Japan,-0.20
2020/1,Japan,0.80
2020/2,Japan,-0.60
2020/3,Japan,-0.10
2020/4,Japan,0.80
2020/5,Japan,0.00
2020/6,Japan,-0.40
2020/7,Japan,0.30
2020/8,Japan,0.80
2020/9,Japan,-0.50
2020/10,Japan,-0.10
2020/11,Japan,-1.00
2020/12,Japan,-0.60
2021/1,Japan,1.21
2021/2,Japan,-0.50
2021/3,Japan,-0.40
2021/4,Japan,-0.10
2021/5,Japan,0.30
2021/6,Japan,0.60
2021/7,Japan,-0.30
2021/8,Japan,0.30
2021/9,Japan,1.50
2019/1,United Kingdom,0.00
2019/2,United Kingdom,0.40
2019/3,United Kingdom,-0.10
2019/4,United Kingdom,-0.30
2019/5,United Kingdom,0.10
2019/6,United Kingdom,0.00
2019/7,United Kingdom,0.10
2019/8,United Kingdom,0.60
2019/9,United Kingdom,-0.20
2019/10,United Kingdom,-0.70
2019/11,United Kingdom,1.00
2019/12,United Kingdom,0.50
2020/1,United Kingdom,-0.30
2020/2,United Kingdom,0.10
2020/3,United Kingdom,0.10
2020/4,United Kingdom,-0.10
2020/5,United Kingdom,0.50
2020/6,United Kingdom,-0.60
2020/7,United Kingdom,-0.30
2020/8,United Kingdom,0.20
2020/9,United Kingdom,-0.80
2020/10,United Kingdom,0.10
2020/11,United Kingdom,0.00
2020/12,United Kingdom,-0.60
2021/1,United Kingdom,0.50
2021/2,United Kingdom,0.50
2021/3,United Kingdom,-0.80
2021/4,United Kingdom,0.80
2021/5,United Kingdom,-0.30
2021/6,United Kingdom,0.30
2021/7,United Kingdom,-0.40
2021/8,United Kingdom,1.00
2021/9,United Kingdom,-0.10
2019/1,United States,0.60
2019/2,United States,0.00
2019/3,United States,0.80
2019/4,United States,0.10
2019/5,United States,1.00
2019/6,United States,-0.30
2019/7,United States,0.80
2019/8,United States,-0.40
2019/9,United States,-0.10
2019/10,United States,0.40
2019/11,United States,0.00
2019/12,United States,0.50
2020/1,United States,0.40
2020/2,United States,0.40
2020/3,United States,0.40
2020/4,United States,3.30
2020/5,United States,5.90
2020/6,United States,4.10
2020/7,United States,-4.80
2020/8,United States,-2.30
2020/9,United States,-1.30
2020/10,United States,0.30
2020/11,United States,-0.60
2020/12,United States,-0.30
2021/1,United States,0.70
2021/2,United States,0.40
2021/3,United States,0.60
2021/4,United States,1.50
2021/5,United States,1.80
2021/6,United States,3.70
2021/7,United States,1.30
2021/8,United States,0.20
2021/9,United States,2.30
