,,general food,meat,vegetables,fruits,cereals,dairy products&eggs,oils,cakes&candies,seafood,,total confirmed covid deaths,total confirmed covid cases,confirmed covid cases,% change in confirmed cases,confirmed covid deaths,% change in confirmed deaths,log month cases,log month death
,,,,,,,,,,,,,,,,,,,
2018/12,,,,,,,,,,,,0,0,0,NaN,0,,,
2019/1,,1.02,0.41,8.80,6.37,-0.10,0.00,-0.10,0.42,1.41,,0,0,0,NaN,0,NaN,0,0
2019/2,,-0.51,-0.20,-5.09,0.00,0.00,-0.51,0.30,-0.31,-1.19,,0,0,0,NaN,0,NaN,0,0
2019/3,,-0.31,0.20,-4.74,-1.83,0.00,0.31,-0.50,0.52,-0.10,,0,0,0,NaN,0,NaN,0,0
2019/4,,0.10,-0.10,3.20,-8.07,0.40,1.84,0.30,0.10,-0.10,,0,0,0,NaN,0,NaN,0,0
2019/5,,0.10,-0.10,-2.68,5.29,0.10,0.60,0.00,0.21,0.00,,0,0,0,NaN,0,NaN,0,0
2019/6,,0.20,0.20,-0.88,3.85,0.20,-0.10,0.30,0.72,-0.10,,0,0,0,NaN,0,NaN,0,0
2019/7,,0.10,0.30,1.22,-3.09,0.20,0.10,0.10,1.02,0.30,,0,0,0,NaN,0,NaN,0,0
2019/8,,0.20,0.10,3.95,0.85,-0.20,-0.20,-0.40,-0.20,0.10,,0,0,0,NaN,0,NaN,0,0
2019/9,,0.91,-0.30,8.76,-2.21,0.30,0.40,-0.20,0.41,2.90,,0,0,0,NaN,0,NaN,0,0
2019/10,,0.40,0.20,-2.52,0.32,0.40,0.00,0.00,0.20,-0.97,,0,0,0,NaN,0,NaN,0,0
2019/11,,-0.20,0.40,-0.80,-4.40,-0.20,0.10,0.00,0.50,-0.88,,0,0,0,NaN,0,NaN,0,0
2019/12,,-0.20,-0.40,-3.01,5.61,-0.20,0.10,-0.20,-0.30,-0.79,,0,0,0,NaN,0,NaN,0,0
2020/1,,0.80,0.81,0.00,9.03,0.00,-0.30,0.50,0.40,1.70,,0,0,0,0.00,0,0.00,0,0
2020/2,,-0.60,-0.60,-5.27,-1.27,0.10,0.00,-0.30,-0.10,-0.88,,6,245,245,0.00,6,0.00,2.389166084,0.77815125
2020/3,,-0.10,0.00,1.53,-2.96,-0.10,-0.20,-0.80,-0.10,-0.50,,67,2255,2010,720.41,61,916.67,3.303196057,1.785329835
2020/4,,0.80,0.00,12.26,1.22,0.00,0.00,0.60,0.20,-0.50,,481,14284,12029,498.46,414,578.69,4.080229525,2.617000341
2020/5,,0.00,0.60,-3.83,4.32,0.00,0.00,0.40,0.30,-0.10,,898,16741,2457,-79.57,417,0.72,3.390405156,2.620136055
2020/6,,-0.40,0.20,-4.48,0.39,-0.10,-0.10,0.00,0.30,-1.10,,974,18605,1864,-24.14,76,-81.77,3.270445908,1.880813592
2020/7,,0.30,0.60,7.19,-3.55,0.10,-0.10,-0.30,-0.30,0.30,,1013,36256,17651,846.94,39,-48.68,4.246769315,1.591064607
2020/8,,0.80,-0.89,13.23,0.80,-0.40,-0.20,-0.40,-0.40,0.61,,1300,68385,32129,82.02,287,635.90,4.506897209,2.457881897
2020/9,,-0.50,-0.10,-8.25,0.69,-0.40,0.10,0.10,0.10,1.20,,1575,83579,15194,-52.71,275,-4.18,4.181672122,2.439332694
2020/10,,-0.10,0.50,-1.22,-3.53,0.40,-0.10,-0.60,1.00,-0.40,,1770,101323,17744,16.78,195,-29.09,4.249051529,2.290034611
2020/11,,-1.00,0.00,-7.39,-5.28,-0.50,-0.20,0.00,0.00,-1.10,,2152,148824,47501,167.70,382,95.90,4.676702753,2.582063363
2020/12,,-0.60,0.10,-9.11,2.25,-0.20,-0.20,-0.40,-0.30,0.20,,3492,235749,86925,83.00,1340,250.79,4.939144699,3.127104798
2021/1,,1.21,0.40,13.74,3.15,0.10,0.10,0.20,0.20,0.20,,5753,390740,154991,78.30,2261,68.73,5.19030648,3.354300562
2021/2,,-0.50,-0.20,-4.65,-0.61,0.00,0.10,0.40,-0.20,-0.60,,7897,432636,41896,-72.97,2144,-5.17,4.622172561,3.331224781
2021/3,,-0.40,-0.10,-3.63,-1.33,-0.30,0.00,-0.50,0.20,-0.91,,9176,475086,42450,1.32,1279,-40.35,4.627877695,3.106870544
2021/4,,-0.10,-0.30,0.65,-3.94,-0.10,0.50,-0.10,0.00,0.51,,10243,592771,117685,177.23,1067,-16.58,5.070721112,3.028164419
2021/5,,0.30,-0.30,-1.07,5.94,-0.20,-0.10,0.10,0.00,0.81,,13059,746487,153716,30.62,2816,163.92,5.186719075,3.44963265
2021/6,,0.60,0.50,5.41,4.79,0.10,-0.10,0.61,0.20,-0.30,,14783,799583,53096,-65.46,1724,-38.78,4.725061805,3.236537261
2021/7,,-0.30,0.20,-4.52,-3.60,0.00,0.30,0.30,-0.30,1.51,,15191,926604,127021,139.23,408,-76.33,5.103875527,2.610660163
2021/8,,0.30,0.30,2.69,-0.20,0.00,0.10,0.40,0.00,1.09,,16065,1494372,567768,346.99,874,114.22,5.754170912,2.941511433
2021/9,,1.50,0.30,17.91,-2.33,0.00,0.30,0.70,0.20,1.28,,17649,1705072,210700,-62.89,1584,81.24,5.323664536,3.199755177
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,100.00,,,,
