,,general food,meat,vegetables,fruits,cereals&bakery,dairy products&eggs,oils,"coffee, tea, cocoa",seafood,,total confirmed covid deaths,total confirmed covid cases,confirmed covid cases,% change in confirmed cases,confirmed covid deaths,% change in confirmed deaths,log month cases,log month death
,,,,,,,,,,,,,,,,,,,
2018/12,,,,,,,,,,,,,,,,,,,
2019/1,,0,0.3,0.5,1,-3.1,-1.1,2.5,0.7,0.6,,0,0,0,0,0,0,0,0
2019/2,,0.4,-0.4,1.6,-1.5,2.6,1.6,-4.3,-2.1,1,,0,0,0,0,0,0,0,0
2019/3,,-0.1,-0.1,0.9,-2.1,0.7,-0.9,-1.4,2.7,-1.6,,0,0,0,0,0,0,0,0
2019/4,,-0.3,-0.3,-1,-0.5,-0.1,-0.6,4.5,-2,-0.9,,0,0,0,0,0,0,0,0
2019/5,,0.1,0.3,-0.5,-1.3,0,1,-1.9,1.2,2.2,,0,0,0,0,0,0,0,0
2019/6,,0,0.3,0.5,2.3,-0.7,-0.5,0.8,1.1,0.4,,0,0,0,0,0,0,0,0
2019/7,,0.1,-0.3,0.5,-0.9,0.6,-0.1,3,0.5,1.1,,0,0,0,0,0,0,0,0
2019/8,,0.6,0.9,0,-0.8,1.2,1,-1.8,-2.1,-1.6,,0,0,0,0,0,0,0,0
2019/9,,-0.2,-0.1,-0.9,2.5,-2.6,0,-3.4,0.7,1.7,,0,0,0,0,0,0,0,0
2019/10,,-0.7,-0.7,-2.6,-0.1,1.5,-0.5,-0.3,0.5,-0.9,,0,0,0,0,0,0,0,0
2019/11,,1,0.9,1,2.4,0.3,0.4,1.4,-1.8,0.6,,0,0,0,0,0,0,0,0
2019/12,,0.5,0.9,1.6,0.8,0.6,1.1,1.3,0.4,0.1,,0,0,0,0,0,0,0,0
2020/1,,-0.3,0.4,0,0,-1.4,-1.7,-8.9,1.5,-1.1,,0,0,0,0,0,0,0,0
2020/2,,0.1,0.1,0.1,1.2,-0.2,1,3.4,-2.9,1.2,,0,0,0,0,0,0,0,0
2020/3,,0.1,-0.4,-1.9,-3.4,3.5,0.2,4.2,3.8,-0.6,,2457,38815,38815,0,2457,0,4.58899959,3.390405156
2020/4,,-0.1,0.5,1.6,-0.1,-1.9,-1.9,4.3,-2.5,3.6,,26754,178771,139956,260.5719438,24297,888.8888889,5.145991522,4.385552654
2020/5,,0.5,0.2,1.5,0.3,1,0.4,0,3.2,-0.9,,37527,257539,78768,-43.71945469,10773,-55.66119274,4.896349818,4.03233666
2020/6,,-0.6,0.3,-2.1,0.7,-1.2,0.9,-2.9,-3,0.1,,40479,285216,27677,-64.86263457,2952,-72.59816207,4.442119014,3.470116353
2020/7,,-0.3,-0.8,-0.5,-2,1.3,-0.8,4.4,4.2,-1.6,,41274,304793,19577,-29.26617769,795,-73.06910569,4.291746141,2.900367129
2020/8,,0.2,0.6,0.8,0,-1.4,1.1,-7.5,-8.5,-0.3,,41589,338083,33290,70.04648312,315,-60.37735849,4.522313795,2.498310554
2020/9,,-0.8,-0.3,-1.8,0.3,-0.4,-2.5,-1.5,1.5,-0.3,,42233,455848,117765,253.7548813,644,104.4444444,5.071016236,2.808885867
2020/10,,0.1,-0.5,0,1.5,1.7,0.5,-3,-0.5,-2.1,,46645,1014795,558947,374.6291343,4412,585.0931677,5.74737063,3.644635504
2020/11,,0,-0.6,-0.9,1,-0.2,0.8,3.5,-1.8,1.4,,58545,1633736,618941,10.73339691,11900,169.7189483,5.791649252,4.075546961
2020/12,,-0.6,-0.7,-0.9,0.3,-0.1,0.5,-1.1,4.2,-2.5,,73622,2496235,862499,39.35076203,15077,26.69747899,5.9357586,4.178314935
2021/1,,0.5,0.9,1.8,-0.9,-0.8,-1.6,-0.2,-2.3,1,,106367,3828187,1331952,54.42939644,32745,117.1851164,6.124488574,4.515144995
2021/2,,0.5,-0.6,1.5,1.1,1,2.2,5.6,-1.6,1,,123083,4188827,360640,-72.92394921,16716,-48.95098488,5.557073894,4.223132362
2021/3,,-0.8,0,-1.4,-0.5,-1,-1.5,-3.1,3.7,-1,,126955,4359982,171155,-52.54131544,3872,-76.83656377,5.233389591,3.587935349
2021/4,,0.8,-0.1,1.4,-0.6,1.1,0.9,2,-1.3,-1.1,,127775,4432246,72264,-57.77862172,820,-78.82231405,4.858921997,2.913813852
2021/5,,-0.3,-0.8,0.3,0.6,-1.6,0.8,0.3,0.7,0.7,,128045,4503231,70985,-1.769899258,270,-67.07317073,4.851166587,2.431363764
2021/6,,0.3,1.5,-1.3,-0.7,1.7,-0.4,2.2,-1.8,1.5,,128404,4817298,314067,342.4413609,359,32.96296296,5.497022306,2.555094449
2021/7,,-0.4,-0.2,-0.2,-0.8,-0.1,-0.9,0.9,1.7,-2.9,,129949,5883421,1066123,239.4571859,1545,330.362117,6.027807313,3.188928484
2021/8,,1,0.7,0.6,-0.1,0.7,1.8,-0.1,0.7,2,,132859,6821356,937935,-12.02375336,2910,88.34951456,5.972172742,3.463892989
2021/9,,-0.1,-0.3,0,1.5,-0.9,-0.8,0.6,-2.6,-0.6,,137043,7843887,1022531,9.019388337,4184,43.78006873,6.009676483,3.621591676
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
