,,general food,meat,vegetables,fruits,cereals,dairy products&eggs,oils,cakes&candies,seafood,,total confirmed covid deaths,total confirmed covid cases,confirmed covid cases,% change in confirmed cases,confirmed covid deaths,% change in confirmed deaths,log month cases,log month death
,,,,,,,,,,,,,,,,,,,
2018/12,,,,,,,,,,,,,,,,,,,
2019/1,,0.50,0.60,0.70,1.70,-0.10,0.20,1.50,-1.00,0.50,,0,0,0,0,0,0.00,0,0
2019/2,,0.30,0.00,-0.10,-0.70,0.60,-0.20,0.10,0.70,-0.40,,0,0,0,0,0,0.00,0,0
2019/3,,0.20,0.80,0.30,0.00,1.60,0.40,0.10,-0.60,-0.40,,0,0,0,0,0,0.00,0,0
2019/4,,0.00,0.10,-1.40,0.30,-0.70,0.00,-1.90,0.10,0.40,,0,0,0,0,0,0.00,0,0
2019/5,,0.20,1.00,-1.00,-0.50,-0.20,0.20,1.90,0.70,0.90,,0,0,0,0,0,0.00,0,0
2019/6,,0.00,-0.30,-1.20,-2.10,0.80,-0.20,-0.80,-0.40,-0.70,,0,0,0,0,0,0.00,0,0
2019/7,,0.10,0.80,1.30,-0.30,0.20,0.10,-0.20,0.50,-0.20,,0,0,0,0,0,0.00,0,0
2019/8,,0.10,-0.40,0.20,-0.70,-0.90,0.50,-0.60,0.00,0.10,,0,0,0,0,0,0.00,0,0
2019/9,,0.20,-0.10,-1.40,0.30,-0.60,0.50,0.50,0.00,-0.50,,0,0,0,0,0,0.00,0,0
2019/10,,0.30,0.40,1.00,2.40,-0.40,0.40,0.10,-1.00,0.40,,0,0,0,0,0,0.00,0,0
2019/11,,-0.10,0.00,-0.20,-2.30,-0.50,0.40,-1.50,1.40,0.00,,0,0,0,0,0,0.00,0,0
2019/12,,0.10,0.50,0.10,-0.50,0.00,0.20,-0.60,-2.10,-0.10,,0,0,0,0,0,0.00,0,0
2020/1,,0.50,0.40,3.70,-0.20,0.70,0.50,2.30,1.70,0.90,,0,0,0,0,0,0.00,0,0
2020/2,,0.30,0.40,-1.20,-0.50,-0.20,0.60,-0.10,-1.50,-0.70,,0,0,0,0,0,0.00,0,0
2020/3,,0.30,0.40,-1.00,0.60,0.80,0.50,0.70,1.50,-0.40,,5359,192079,192079,0,5359,0.00,5.283479886,3.729083757
2020/4,,1.50,3.30,0.60,2.20,1.90,1.40,1.00,1.50,4.90,,66154,1080974,888895,362.7757329,60795,1034.45,5.948850463,4.783867863
2020/5,,0.60,5.90,0.90,0.20,1.50,0.60,0.10,-0.80,0.50,,107674,1799141,718167,-19.20676795,41520,-31.70,5.856225445,4.618257345
2020/6,,0.50,4.10,0.80,-2.20,0.50,-0.80,-0.30,1.50,-0.90,,127365,2642479,843338,17.42923303,19691,-52.57,5.92600167,4.294267772
2020/7,,-0.30,-4.80,0.60,0.20,-1.00,-0.60,0.50,-0.70,-0.60,,153828,4566294,1923815,128.1190934,26463,34.39,6.284163307,4.422639077
2020/8,,0.10,-2.30,-0.80,1.40,-1.00,1.80,-0.40,-0.40,0.20,,183383,6025373,1459079,-24.15700054,29555,11.68,6.164078807,4.470630964
2020/9,,0.00,-1.30,-0.50,0.00,0.20,-0.20,0.30,-0.50,0.50,,206880,7234282,1208909,-17.14574742,23497,-20.50,6.082393611,4.371012417
2020/10,,0.20,0.30,1.10,1.80,-0.20,-0.70,-0.40,1.00,0.00,,231515,9170037,1935755,60.12412845,24635,4.84,6.28685039,4.391552567
2020/11,,-0.30,-0.60,-0.80,-1.00,-0.50,0.20,-1.60,-0.50,0.50,,270827,13686786,4516749,133.332679,39312,59.58,6.654825957,4.594525139
2020/12,,0.40,-0.30,0.70,-0.90,0.80,1.00,0.60,0.30,0.20,,351754,20163903,6477117,43.40219038,80927,105.86,6.811381742,4.908093441
2021/1,,0.30,0.70,0.60,1.90,-0.10,-0.10,1.60,0.20,0.20,,448407,26316153,6152250,-5.015611112,96653,19.43,6.789033975,4.985215339
2021/2,,0.20,0.40,-1.90,-1.90,-0.30,2.00,1.00,-0.20,-1.20,,514193,28718658,2402505,-60.94916494,65786,-31.94,6.3806643,4.818133481
2021/3,,0.20,0.60,-0.80,0.10,0.30,-0.60,0.50,1.90,-1.40,,551456,30532810,1814152,-24.48914779,37263,-43.36,6.258673672,4.571277817
2021/4,,0.50,1.50,-0.30,1.40,-0.50,2.30,-1.40,0.30,0.90,,575348,32424126,1891316,4.253447341,23892,-35.88,6.276764097,4.378252506
2021/5,,0.40,1.80,-0.70,0.00,1.20,2.20,2.90,-1.10,1.80,,593694,33344909,920783,-51.31522178,18346,-23.21,5.964157293,4.263541389
2021/6,,0.70,3.70,0.30,-0.40,0.40,-0.20,-1.60,0.40,1.30,,604248,33745587,400678,-56.48507846,10554,-42.47,5.602795497,4.02341709
2021/7,,0.70,1.30,1.60,0.10,0.60,1.60,0.80,1.10,1.70,,612951,35064141,1318554,229.0807082,8703,-17.54,6.120097921,3.939668984
2021/8,,0.40,0.20,-1.00,-1.10,0.00,-0.90,0.70,0.10,-1.10,,640866,39353639,4289498,225.3183412,27915,220.75,6.63240647,4.445837632
2021/9,,0.80,2.30,2.20,0.40,0.00,0.80,-2.00,0.40,0.80,,699543,43503034,4149395,-3.266186393,58677,110.20,6.617984779,4.768467901
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,,,,,,,,
